id,title,"description","link","image_link","additional_image_link",availability,"price","sale_price","brand","condition","gtin","mpn","identifier_exists","google_product_category","shipping_weight"
"MMINT-DMAX-01SL","Mishimoto Intercooler for GM Duramax 2001-2005 6.6L Silver","Not For Sale in the State of California Mishimoto has released its performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-01-05-chevroletgmc-66l-duramax-intercooler-silver.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796368.jpeg",,"in_stock",1549.99 USD,,Mishimoto,"new",748666000000,"MMINT-DMAX-01SL",yes,,58 lb
"MMINT-DMAX-06BK","Mishimoto Intercooler for GM Duramax 2006-2010 6.6L Black","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-06-10-chevroletgmc-66l-duramax-intercooler-black.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796371.jpeg",,"in_stock",1574.99 USD,,Mishimoto,"new",748666000000,"MMINT-DMAX-06BK",yes,,66 lb
"MMINT-DMAX-06SL","Mishimoto Intercooler for GM Duramax 2006-2010 6.6L Silver","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-06-10-chevroletgmc-66l-duramax-intercooler-silver.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796374.jpeg",,"in_stock",1599.99 USD,,Mishimoto,"new",748666000000,"MMINT-DMAX-06SL",yes,,67 lb
"MMINT-F2D-03BK","Mishimoto Intercooler for Ford Powerstroke 2003-2007 6.0L Black","Not For Sale in California Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-03-07-ford-60l-powerstroke-intercooler-black.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796375.jpeg",,"in_stock",1749.99 USD,,Mishimoto,"new",748666000000,"MMINT-F2D-03BK",yes,,61 lb
"MMINT-F2D-03SL","Mishimoto Intercooler for Ford Powerstroke 2003-2007 6.0L Silver","Whether your truck is decked out with engine modifications or it's bone stock, adding a Mishimoto intercooler will improve performance and extend engine life. This Mishimoto intercooler has a direct fit design for the 2003 to 2007 Ford Super Duty pickup trucks equipped with the 6.0L PowerStroke. This performance intercooler is manufactured with heavy-duty cast aluminum end tanks and a stout bar-and-plate core, which is designed to decrease intake temperatures, improve airflow and reduce pressure drop. This pressure drop reduction not only extends the life of the turbocharger, but it also improves the overall efficiency of the engine. The Mishimoto intercooler provides a step up from a factory intercooler with a 32.5 percent increase in core volume resulting in numerous performance benefits including increased pressure tolerance and lower EGTs. The Mishimoto intercooler has a 3.35-inch bar-and-plate core is, which is 33 percent thicker than factory intercooler, with end tanks that are strategically designed for optimal airflow and lower intake air temperatures. The more air you can add to your engine and the cooler that air is, the better your engine will perform. This Mishimoto intercooler is covered by a Lifetime Warranty.","https://sinisterdiesel.com/mishimoto-03-07-ford-60l-powerstroke-intercooler-silver.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796378.jpeg",,"in_stock",1749.99 USD,,Mishimoto,"new",748666000000,"MMINT-F2D-03SL",yes,,60 lb
"MMINT-F2D-08SL","Mishimoto Intercooler for Ford Powerstroke 2008-2010 6.4L Silver","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-08-10-ford-64l-powerstroke-intercooler-silver.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796382.jpeg",,"in_stock",1895.99 USD,,Mishimoto,"new",748666000000,"MMINT-F2D-08SL",yes,,50 lb
"MMINT-F2D-99","Mishimoto Intercooler for Ford Powerstroke 1999-2003 7.3L","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-99-03-ford-73l-powerstroke-intercooler.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796383.jpeg",,"in_stock",1414.99 USD,,Mishimoto,"new",748355000000,"MMINT-F2D-99",yes,,38 lb
"MMINT-RAM-03BK","Mishimoto Intercooler for Dodge Cummins 2003-2009 5.9L/6.7L Black","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-03-09-dodge-59l67l-cummins-intercooler-black.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796384.jpeg",,"in_stock",1649.99 USD,,Mishimoto,"new",748666000000,"MMINT-RAM-03BK",yes,,60 lb
"MMINT-RAM-03SL","Mishimoto Intercooler for Dodge Cummins 2003-2009 5.9L/6.7L Silver","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mishimoto-03-09-dodge-59l67l-cummins-intercooler-silver.html","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796387.jpeg",,"in_stock",1649.99 USD,,Mishimoto,"new",748666000000,"MMINT-RAM-03SL",yes,,62 lb
"MMINT-F2D-03KBK","Mishimoto Intercooler for Ford Powerstroke 2003-2007 6.0L Black","Mishimoto has released their performance intercoolers. A high-performance diesel engine requires a cool, dense charge of air to reach its full power potential. Upgrade your factory intercooler to the Mishimoto all-aluminum intercooler engineered to maximize the efficiency. The Mishimoto intercooler is built to last, with heavy-duty cast aluminum end tanks and a bar-and-plate core, allowing for increased airflow and cooler intake temperatures. The Mishimoto intercooler features a significantly larger core than the factory unit and is designed to support substantial boost pressures and lower EGTs, both highly advantageous on your stock or modified engine. Offered in black or silver, the Mishimoto intercooler is protected by our signature lifetime warranty.","https://sinisterdiesel.com/mm5/merchant.mvc?Screen=PROD&Product_Code=MMINT-F2D-03KBK","https://sinisterdiesel.com/graphics/00000001/product_images/RAW144796376.jpeg",,"in_stock",2149.99 USD,,Mishimoto,"new",748666000000,"MMINT-F2D-03KBK",yes,,75 lb
