Bucket,Current URL,Current Title,Recommended Target URL,Evidence Source,Confidence,Template/Nav Area Affected
KEEP,https://sinisterdiesel.com/954746_ford_powerstroke,Ford Powerstroke - Powerstroke Diesel Truck Parts Online,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/954952_gm_duramax,Shop GM Duramax Diesel Parts - Sinister Diesel,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/954540_dodge_cummins,Dodge Cummins Diesel Performance Parts - Sinister Diesel,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/merchandise-apparel-5534,Sinister Diesel: Merchandise & Apparel,,categories.json productLinks (25 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/merchandise-apparel-5534.html,Sinister Diesel: Merchandise & Apparel,,categories.json productLinks (25 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/50-state-legal-sinister-diesel-products-powerstroke.html,50 State Legal Sinister Diesel Products - Powerstroke,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/air-intakes-parts-for-powerstroke.html,Sinister Diesel: Air Intakes & Parts for Powerstroke,,categories.json productLinks (27 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/diesel-brake-calipers-rotors-and-pads-for-ford-super-duty.html,"Diesel Brake Calipers, Rotors and Pads for Ford Super Duty",,categories.json productLinks (1 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/coolant-oil-filtrationfor-powerstroke.html,Sinister Diesel: Coolant & Oil Filtration for Powerstroke,,categories.json productLinks (21 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/egr-coolers-componentsfor-powerstroke.html,Sinister Diesel: EGR Coolers & Components for Powerstroke,,categories.json productLinks (11 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/powerstroke-performance-parts-engine-parts-sinister-diesel.html,Powerstroke Performance Parts & Engine Parts - Sinister Diesel,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/exhaust-systems-manifoldsfor-powerstroke.html,Sinister Diesel: Exhaust Tips / Systems for Powerstroke,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/exterior-accessoriesfor-powerstroke.html,Sinister Diesel: Exterior Accessories for Powerstroke,,categories.json productLinks (11 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/fuel-system-for-powerstroke.html,Sinister Diesel: Fuel System for Powerstroke,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/gauges-and-podsfor-powerstroke.html,Sinister Diesel: Gauges and Pods for Powerstroke,,categories.json productLinks (4 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/injectorsfor-powerstroke-5756.html,Sinister Diesel: Injectors for Powerstroke,,categories.json productLinks (5 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/intercoolers-pipesfor-powerstroke.html,Sinister Diesel: Intercoolers & Pipes for Powerstroke,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/new-products.html,Sinister Diesel: New Products,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/oem-ford.html,Sinister Diesel: OEM Replacement Parts,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/powerstroke-parts-ford-powerstroke-diesel-truck-packages.html,Powerstroke Parts - Ford Powerstroke Diesel Truck Packages,,categories.json productLinks (28 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/suspension-steeringfor-powerstroke.html,Sinister Diesel: Suspension / Steering for Powerstroke,,categories.json productLinks (3 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/tuners-programmersfor-powerstroke-5809.html,Sinister Diesel: Tuners & Programmers for Powerstroke,,categories.json productLinks (6 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/turbos-for-powerstrokes.html,Sinister Diesel: Powerstroke Turbo's,,categories.json productLinks (18 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/shop??q=&tag=sinister-diesel-scratch-dent-ford,Sinister Diesel: Search Results,,categories.json productLinks (6 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/sinister-diesel-replacement-parts-19217.html,Sinister Diesel: Sinister Diesel Replacement Parts,,categories.json productLinks (38 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/50-state-legal-duramax.html,50 State Legal - Duramax,,categories.json productLinks (17 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/air-intakes-parts-for-duramax.html,Sinister Diesel: Air Intakes & Parts for Duramax,,categories.json productLinks (13 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/duramax-filters-and-filter-kits-for-fuel-oil-and-coolant-filtration.html,"Duramax Filters and Filter Kits for Fuel, Oil and Coolant Filtration",,categories.json productLinks (10 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/engine-parts-and-performancefor-duramax.html,Sinister Diesel: Engine Parts and Performance for Duramax,,categories.json productLinks (29 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/exhaust-systems-manifoldsfor-duramax.html,Sinister Diesel: Exhaust Tips / Systems for Duramax,,categories.json productLinks (40 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/exterior-accessoriesfor-duramax.html,Sinister Diesel: Exterior Accessories for Duramax,,categories.json productLinks (3 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/gauges-and-podsfor-duramax.html,Sinister Diesel: Gauges and Pods for Duramax,,categories.json productLinks (4 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/injectorsfor-duramax.html,Sinister Diesel: Injectors for Duramax,,categories.json productLinks (3 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/intercoolers-pipesfor-duramax.html,Sinister Diesel: Intercoolers & Pipes for Duramax,,categories.json productLinks (6 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/lift-pumps-fuel-systemfor-duramax.html,Sinister Diesel: Lift Pumps & Fuel System for Duramax,,categories.json productLinks (14 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/new-duramax-products.html,Sinister Diesel: New Duramax Products,,categories.json productLinks (16 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/oem-duramax.html,Sinister Diesel: OEM Duramax,,categories.json productLinks (4 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/packagesfor-duramax.html,Sinister Diesel: Packages for Duramax,,categories.json productLinks (6 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/replacement-filters-fluidsfor-duramax.html,Sinister Diesel: Replacement Filters & Fluids for Duramax,,categories.json productLinks (4 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/tuners-programmersfor-duramax.html,Sinister Diesel: Tuners & Programmers for Duramax,,categories.json productLinks (7 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/duramax-turbos.html,Sinister Diesel: Duramax Turbo's,,categories.json productLinks (3 products),High,"None - active, populated category"
KEEP,https://sinisterdiesel.com/shop??q=&tag=sinister-diesel-scratch-dent-chevy,Sinister Diesel: Search Results,,categories.json productLinks (8 products),High,"None - active, populated category"
