Category URL,Category Title,Reason/Notes,Recommended Action,Confidence
https://sinisterdiesel.com/interior-accessoriesfor-powerstroke.html,Interior Accessories for Powerstroke,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/lightingfor-powerstroke.html,Lighting for Powerstroke,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/toolsfor-powerstroke.html,Tools for Powerstroke,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/transmissionfor-powerstroke.html,Transmission for Powerstroke,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/duramax-egr-delete-kits-and-coolers-for-gm-diesel-trucks.html,Duramax EGR Systems and Coolers for GM Diesel Trucks,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/lightingfor-duramax.html,Lighting for Duramax,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/suspension-steeringfor-duramax.html,Suspension / Steering for Duramax,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/toolsfor-duramax.html,Tools for Duramax,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/transmissionfor-duramax.html,Transmission for Duramax,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/braking-system.html,Braking System for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/egr-coolers-componentsfor-cummins.html,EGR Coolers & Components (Cummins),"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/lightingfor-cummins.html,Lighting for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/toolsfor-cummins.html,Tools for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/transmissionfor-cummins.html,Transmission for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/stacks.html,Stacks,"Live-verified via WebFetch: breadcrumb positions this under 'Exhaust Tips / Systems', page loads, no products shown",Map,High
https://sinisterdiesel.com/factory-cummins.html,Factory Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/transmission-kits-and-part-for-cummins-powerstroke-superduty.html,Transmission Kits and Parts (Cummins/Powerstroke/SuperDuty),"Named cross-platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/boots-for-cummins.html,Boots for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/differential-for-cummins.html,Differential for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/differential-coverstrans-pans-for-cummins.html,Differential Covers/Trans. Pans for Cummins,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/differentialfor-powerstroke.html,Differential for Powerstroke,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/differential-coverstrans-pansfor-powerstroke.html,Differential Covers/Trans. Pans for Powerstroke,"Named platform subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/womens-clothing.html,Women's Clothing,"Apparel subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/vip-club.html,VIP Club,Not a product category by name (loyalty program page misclassified as category by crawler),Remove,Medium
https://sinisterdiesel.com/p1-innovations.html,P1 Innovations,"Live-verified via WebFetch: confirmed empty brand/category placeholder page, no products, no error",Map,High
https://sinisterdiesel.com/womens-shirts.html,Womens Shirts,"Apparel subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/womens-hoodies.html,Women's Hoodies,"Apparel subcategory, currently empty of products",Keep Nav,Medium
https://sinisterdiesel.com/searchspring-tier-3.html,Searchspring Tier 3,"Live-verified via WebFetch: confirmed empty placeholder, name indicates leftover Searchspring integration artifact, not a real category",Remove,High
https://sinisterdiesel.com/searchspring-tier-4.html,Searchspring Tier 4,"Live-verified via WebFetch: confirmed empty placeholder, name indicates leftover Searchspring integration artifact, not a real category",Remove,High
https://sinisterdiesel.com/intake.html,Intake,"Live-verified via WebFetch: confirmed empty placeholder page, likely superseded by platform-specific 'Air Intakes & Parts for X' categories",Map,High
