Product URL,Product Title,Sitemap Present,Recommended Action,Confidence
https://sinisterdiesel.com/customer-reviews.html,Sinister Diesel: Customer Reviews,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-center.html,Help Center | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/prime-day-sale.html,Diesel Prime Days - Save Up to 35% Storewide | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/shop-by-brand.html,Sinister Diesel: Shop by Brand,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/about-us-19356.html,About US | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/job-application-full.html,Career Opportunities | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/race-parts-notice.html,Sinister Diesel: Race Parts Notice,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/sinister-notice.html,Sinister Diesel: Sinister Notice,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/sponsor-application-19537.html,Sponsor Application | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/install-instructions.html,Sinister Diesel: Install Instructions,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/shipping-policies.html,Sinister Diesel: Shipping Policies,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-online-account-issues.html,Sinister Diesel: Missing / Damaged Parts,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-returns-exchanges.html,Sinister Diesel: Returns / Exchanges,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-check-order-status.html,Sinister Diesel: Check Order Status,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-sales-inquiry.html,Sinister Diesel: Sales Inquiry,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-sinister-diesel-parts-tech-support.html,Sinister Diesel: Sinister Diesel Parts Tech Support,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-warranty-inquiry.html,Sinister Diesel: Warranty Inquiry,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/help-shipping-protection-requests.html,Sinister Diesel: Shipping Protection Inquiry,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/authorized-resellers.html,Sinister Diesel: Authorized Resellers,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/identifying-genuine-sinister-parts.html,Sinister Diesel: Identifying Genuine Sinister Parts,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/sinister-diesel-is-not-suing-over-blue.html,Sinister Diesel: Sinister Diesel is not suing over blue,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/policies-terms-conditions.html,"Sinister Diesel: Policies, Terms & Conditions",Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/core-returns.html,Sinister Diesel: Core Returns,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/sale-restrictions.html,Sale Restrictions | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/military-discount.html,Military Discount | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/rewards.html,rewards | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/news-19612.html,News | Sinister Diesel,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/manufacturing-videos.html,Sinister Diesel: Sinister Diesel - Manufacturing Videos,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/sinister-diesel-community-videos.html,Sinister Diesel: Sinister Diesel - Community Videos,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/sinister-diesel-installation-videos.html,Sinister Diesel: Sinister Diesel - Installation Videos,Yes,"Reclassify (not a product - crawler misclassification, belongs in others.json)",High
https://sinisterdiesel.com/mm5/merchant.mvc?Screen=PROD&Product_Code=SD-FF-6_7P-11,Sinister Diesel Fuel Filter Conversion Kit for 2011-2026 Ford Powerstroke 6.7L (SKU SD-FF-6.7P-11),Yes,Map (confirmed via live breadcrumb: New Products > Replacement Filters & Fluids > Filtration Kits > Fuel Filtration Kits; also Shop by Vehicle > Ford Powerstroke > Fuel System for Powerstroke). Not truly orphaned - category page crawl simply did not link to this raw ?Screen=PROD URL form; product has a real SEO-friendly URL that should be used as canonical.,High
https://sinisterdiesel.com/sinister-diesel-oil-fill-cap-for-1999-2010-ford-powerstroke-736064-and-20075-2019-dodge-cummins-67c.html,Sinister Diesel Oil Fill Cap for 1999-2010 Ford Powerstroke 7.3/6.0/6.4L (SKU SD-FC-OIL),Yes,"Map (confirmed via live breadcrumb: Home > Engine Parts and Performance > Engine Dress Up). Category page for ""Engine Dress Up"" was either not crawled or its productLinks extraction missed this item - not truly orphaned.",High
